"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"2351";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Trebe¾ovce 21";"Trebe¾ovce";"98531";;;;;;;;;;;;;;;"59,8556";"94,4404";"10,1083";;;;;;;;;;;;;"97,173";;;;
"2353";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Trenè 94";"Trenè";"98532";;;;;;;;;;;;;;;"65,9928";"54,7292";"69,2419";;;;;;;;;;;;;"86,5836";;;;
"2354";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı - maïarskı ";"Základná škola";"Základná škola";"Ve¾ká nad Ip¾om 231";"Ve¾ká nad Ip¾om";"98532";;;;;;;;;;;;;;;"88,0144";"54,1516";"74,1516";;;;;;;;;;;;;"53,0426";;;;
"2355";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 220";"Ve¾ké Dravce";"98542";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"78,1025";;;;
"2356";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Ve¾ké Dravce 220";"Ve¾ké Dravce";"98542";;;;;;;;;;;;"2,34375";"11,194";"50";;;;;;;;;;;;;;;;"81,84";;;;
"2357";"Banskobystrickı";"Poltár";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Breznièka 169";"Breznièka";"98502";;;;;;;;;;;;;;;"29,8917";"42,4549";"15,8123";;;;;;;;;;;;;"29,2765";;;;
"2359";"Banskobystrickı";"Poltár";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Banská ulica 116/47";"Cinobaòa";"98522";;;;;;;;;;;"4,44618";"4,75852";;;"100";"100";"72,0578";;;;;;;;;;;;;"62,6258";;;;
"2360";"Banskobystrickı";"Poltár";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hrnèiarska Ves 82";"Hrnèiarska Ves";"98013";;;;;;;;;;;;;;;"75,8845";"71,6968";"61,9495";;;;;;;;;;;;;"53,0426";;;;
"2361";"Banskobystrickı";"Poltár";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 333";"Hrnèiarske Zaluany";"98012";;;;;;;;;;;;;;;"86,5704";"75,8845";"48,231";;;;;;;;;;;;;"22,3287";;;;
"2362";"Banskobystrickı";"Poltár";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"SNP 20";"Kalinovo";"98501";;;;;;;;;;;"60,6084";"83,9489";;;"73,8628";"90,1805";"59,4946";;;;;;;;;;;;;"30,3785";;;;
